"Coluna1"," Coluna2"," Coluna3"," Coluna4"," Coluna5"," Coluna6"," Coluna 7"," Coluna8"," Coluna9"," Coluna 10"," Coluna11"," Coluna 12"," Coluna 13"," Coluna 14"," Coluna 15"," Coluna 16"," Coluna 17"," Coluna 18"," Coluna 19"," Coluna20"," Coluna21"," Coluna22"," Coluna23"," Coluna24"," Coluna25"," Coluna26"," Coluna 27"," Coluna 28"," Coluna 29"," Coluna30"," Coluna31"," Coluna32"
" citrino"," pão semiacabado"," Margarina"," sopas prontas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," iogurte"," café","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta pipa"," iogurte"," Requeijão cremoso"," pastas de carne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," leite inteiro"," Leite condensado"," produto de panificação longa vida","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," manteiga"," iogurte"," arroz"," limpador abrasivo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pãezinhos/pãezinhos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais"," Leite UHT"," pãezinhos/pãezinhos"," cerveja engarrafada"," licor (aperitivo)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vasos de plantas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro"," cereais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," outros vegetais"," pão branco"," água engarrafada"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," fruta tropical"," leite inteiro"," manteiga"," coalhada"," iogurte"," farinha"," água engarrafada"," pratos","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Frankfurt"," pãezinhos/pãezinhos","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frango"," fruta tropical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" manteiga"," açúcar"," suco de frutas/vegetais"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" frutas/legumes embalados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Soro de leite coalhado"," pastelaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" leite inteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," Requeijão cremoso"," Queijo processado"," detergente"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" fruta tropical"," vegetais de raiz"," outros vegetais"," sobremesa congelada"," pãezinhos/pãezinhos"," farinha"," pastas doces"," lanche salgado"," waffles"," doce"," limpador de banheiro","","","","","","","","","","","","","","","","","","","","",""
" água engarrafada"," cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" salsicha"," pãezinhos/pãezinhos","refrigerante"," chocolate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" outros vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pão integral","refrigerante"," suco de frutas/vegetais"," cerveja em lata"," jornais"," sacolas de compras","","","","","","","","","","","","","","","","","","","","","","","","","",""
" iogurte"," bebidas"," água engarrafada"," barra de especialidades","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de hambúrguer"," outros vegetais"," pãezinhos/pãezinhos"," especiarias"," água engarrafada"," artigos de higiene"," guardanapos","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," bebidas"," açúcar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" carne de porco"," bagas"," outros vegetais"," leite inteiro"," chantilly/creme de leite"," artífice. adoçante","refrigerante"," limpador abrasivo","","","","","","","","","","","","","","","","","","","","","","","",""
" carne bovina"," uvas"," detergente","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" pastelaria","refrigerante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" suco de frutas/vegetais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" cerveja em lata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" vegetais de raiz"," outros vegetais"," leite inteiro"," sobremesa","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" citrino"," zwieback"," jornais","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
