marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
razer,2022,10,10,16,não,0,2,412,FULLHD,AMOLED,não,0,2000,premium,15981
apple,2022,6,12,16,não,0,2,508,FULLHD,OLED,não,0,250,premium,16524
huawei,2022,8,12,8,não,0,2,496,4K,OLED,não,0,500,premium,21431
razer,2019,10,13,8,não,0,3,427,FULLHD,AMOLED,não,0,500,premium,15844
hp,2022,12,16,16,sim,4,4,196,QUADHD,VA,não,0,250,jogos_intermediarios,12428
hp,2015,4,8,12,não,0,3,536,FULLHD,VA,não,0,250,ultraportatil,19371
asus,2018,8,10,64,não,0,2,546,FULLHD,TN,não,0,500,ultraportatil,20010
acer,2017,10,17,2,não,0,2,521,FULLHD,IPS,não,0,250,ultraportatil,16933
huawei,2014,6,9,8,não,0,2,465,4K,OLED,não,1000,250,premium,24334
lenovo,2017,8,8,64,não,0,3,391,FULLHD,IPS,sim,0,500,2em1,13655
samsung,2017,8,10,12,sim,6,3,39,4K,OLED,não,0,250,jogos_intermediarios,10808
hp,2010,2,3,16,não,0,2,501,FULLHD,IPS,não,1000,250,ultraportatil,13711
asus,2019,4,8,6,não,0,1,335,HD,IPS,não,0,2000,entrada,9349
huawei,2017,10,17,8,não,0,2,459,4K,AMOLED,não,0,250,premium,17623
huawei,2023,8,11,8,não,0,2,426,QUADHD,AMOLED,não,0,500,premium,19892
positivo,2022,6,9,4,não,0,3,79,HD,IPS,não,250,2000,entrada,4983
asus,2022,12,24,16,não,0,3,550,FULLHD,VA,não,0,500,ultraportatil,16931
acer,2010,2,2,16,não,0,2,563,FULLHD,TN,não,0,1000,ultraportatil,17954
lenovo,2017,10,17,4,não,0,2,143,FULLHD,AMOLED,sim,0,500,2em1,9630
hp,2019,8,15,8,sim,2,4,83,FULLHD,TN,não,0,500,jogos_entrada,7142
hp,2023,8,9,12,sim,8,4,164,FULLHD,IPS,não,0,1000,jogos_intermediarios,12127
asus,2023,12,19,2,não,0,2,80,FULLHD,IPS,sim,0,2000,2em1,8275
hp,2013,6,7,12,sim,6,2,195,QUADHD,OLED,não,0,500,jogos_intermediarios,12089
huawei,2022,4,6,8,não,0,3,524,FULLHD,AMOLED,não,0,500,premium,17375
hp,2023,10,13,12,sim,4,4,100,FULLHD,IPS,não,0,2000,jogos_entrada,8534
xiaomi,2013,8,16,16,não,0,2,471,4K,AMOLED,não,1000,250,premium,22392
xiaomi,2019,8,10,16,não,0,3,430,FULLHD,OLED,não,0,500,premium,20279
xiaomi,2012,12,13,8,não,0,2,470,QUADHD,AMOLED,não,500,250,premium,20694
huawei,2013,10,16,8,não,0,2,429,4K,OLED,não,2000,250,premium,18910
dell,2017,8,16,8,não,0,2,500,FULLHD,OLED,não,0,250,ultraportatil,19888
hp,2014,4,4,6,não,0,3,579,FULLHD,OLED,não,500,2000,ultraportatil,21323
hp,2021,12,18,32,não,0,3,501,FULLHD,VA,não,0,500,ultraportatil,17167
positivo,2019,6,12,16,não,0,4,44,HD,IPS,não,500,0,entrada,3937
huawei,2012,10,18,16,não,0,3,557,FULLHD,AMOLED,não,500,250,premium,24026
acer,2018,12,21,12,sim,6,1,55,FULLHD,IPS,não,0,2000,jogos_intermediarios,10002
xiaomi,2020,10,14,16,não,0,2,521,FULLHD,AMOLED,não,0,250,premium,18481
asus,2012,6,7,4,não,0,4,532,HD,TN,não,500,0,entrada,11341
huawei,2023,10,16,16,não,0,2,461,FULLHD,OLED,não,0,250,premium,20411
samsung,2016,8,12,6,não,0,2,286,HD,IPS,não,250,0,entrada,7980
dell,2015,4,7,6,não,0,3,566,FULLHD,VA,não,0,250,ultraportatil,17624
lenovo,2018,10,19,2,não,0,1,177,HD,TN,não,500,0,intermediario,8270
positivo,2018,8,15,8,não,0,1,140,HD,IPS,não,500,0,entrada,6519
asus,2021,10,10,64,não,0,3,425,HD,VA,não,250,0,intermediario,14004
acer,2017,4,6,32,sim,6,1,180,FULLHD,AMOLED,não,0,250,jogos_premium,22812
acer,2017,12,14,16,não,0,2,526,4K,OLED,não,0,250,premium,20626
huawei,2017,4,6,16,não,0,2,586,4K,OLED,não,0,500,premium,26538
positivo,2012,2,2,12,não,0,3,212,HD,IPS,não,2000,0,entrada,5499
apple,2018,4,6,8,não,0,2,421,4K,OLED,não,0,250,premium,18022
acer,2018,12,22,32,sim,6,2,177,4K,AMOLED,não,0,500,jogos_premium,25572
huawei,2023,8,11,16,não,0,3,441,QUADHD,OLED,não,0,250,premium,16965
huawei,2019,12,12,8,não,0,2,439,4K,AMOLED,não,0,250,premium,17106
dell,2017,8,15,4,não,0,2,379,HD,TN,não,250,0,intermediario,11831
xiaomi,2011,6,7,16,não,0,3,456,QUADHD,AMOLED,não,500,250,premium,21042
xiaomi,2022,4,4,8,não,0,3,460,4K,AMOLED,não,0,2000,premium,23471
lenovo,2018,4,7,16,sim,6,3,96,4K,OLED,não,0,1000,jogos_premium,20484
positivo,2017,8,14,16,não,0,3,143,HD,IPS,não,0,500,entrada,6543
apple,2019,12,17,16,não,0,2,408,FULLHD,AMOLED,não,0,250,premium,17733
apple,2020,4,4,8,não,0,2,421,4K,OLED,não,0,500,premium,20236
apple,2017,6,6,8,não,0,3,557,QUADHD,OLED,não,0,1000,premium,15978
huawei,2016,6,9,8,não,0,3,486,FULLHD,OLED,não,0,250,premium,22599
positivo,2020,10,15,6,não,0,1,298,HD,TN,não,0,500,entrada,8654
samsung,2010,6,11,8,não,0,2,522,FULLHD,TN,não,2000,500,ultraportatil,14951
razer,2010,6,6,32,sim,6,3,153,4K,AMOLED,não,500,1000,jogos_premium,21019
apple,2019,4,6,8,não,0,2,553,QUADHD,AMOLED,não,0,1000,premium,24885
dell,2020,10,13,8,não,0,3,578,QUADHD,OLED,não,0,500,premium,16436
razer,2015,10,15,16,sim,6,3,97,FULLHD,OLED,não,0,1000,jogos_premium,19973
dell,2012,8,9,8,não,0,3,556,FULLHD,IPS,sim,2000,250,premium,18210
dell,2015,8,16,8,não,0,2,570,FULLHD,TN,não,0,250,ultraportatil,20651
positivo,2011,6,11,4,não,0,1,212,HD,TN,não,1000,0,entrada,6037
lenovo,2018,8,16,12,não,0,3,570,FULLHD,OLED,não,0,250,ultraportatil,20719
dell,2017,12,24,16,sim,6,4,185,FULLHD,OLED,não,0,2000,jogos_premium,22371
xiaomi,2011,12,23,16,não,0,2,600,4K,AMOLED,não,1000,250,premium,21515
xiaomi,2015,10,19,16,não,0,3,600,QUADHD,OLED,não,0,500,premium,26340
acer,2021,12,19,8,não,0,2,358,FULLHD,AMOLED,sim,0,500,2em1,16689
razer,2013,12,14,32,sim,6,2,181,FULLHD,OLED,não,250,125,jogos_premium,17029
lenovo,2014,12,16,16,não,0,3,413,4K,AMOLED,não,2000,250,premium,18850
samsung,2013,2,3,4,não,0,4,560,HD,TN,não,500,0,intermediario,11867
positivo,2018,6,11,2,não,0,2,231,HD,TN,não,500,0,entrada,6561
