renda_mensal,idade,pontuacao_credito,valor_emprestimo,duracao_emprestimo,outras_dividas,emprestimo_ativo,emprestimo_aprovado
7552,68,763,21940,28.0,sim,sim,sim
2229,27,367,45199,18.0,não,não,não
14403,52,615,48788,24.0,não,sim,sim
2579,40,764,15582,51.0,sim,não,sim
12618,26,326,35211,42.0,sim,não,sim
19982,53,328,31796,7.0,sim,não,sim
1345,65,828,10461,11.0,não,não,sim
13320,64,365,45068,30.0,não,não,sim
5848,35,860,2346,7.0,não,sim,sim
1669,25,446,18044,27.0,não,não,sim
12581,53,891,11707,21.0,sim,não,sim
2126,18,658,41569,53.0,não,sim,não
6460,65,476,22153,26.0,sim,não,sim
10021,30,377,14936,55.0,sim,sim,sim
3534,19,663,24903,38.0,sim,sim,não
2202,40,584,19703,12.0,não,sim,não
14549,65,721,46055,,não,sim,sim
2690,39,636,31960,30.0,sim,sim,não
19598,59,642,29489,37.0,sim,não,sim
19771,36,364,13880,50.0,sim,não,sim
1418,62,854,39485,12.0,não,sim,não
9703,33,526,13664,59.0,sim,sim,sim
12709,24,498,48879,27.0,sim,sim,não
18450,39,485,22190,54.0,não,não,sim
15625,52,624,27287,16.0,não,não,sim
10762,19,463,5945,35.0,não,não,sim
7129,41,554,916,59.0,sim,sim,sim
14002,57,417,19253,47.0,não,não,sim
12787,41,609,49478,21.0,sim,sim,sim
2576,63,774,28471,56.0,não,não,sim
1976,45,881,13991,59.0,não,sim,sim
8119,34,485,20917,48.0,sim,sim,sim
3760,52,447,37200,54.0,não,sim,sim
15409,24,716,34810,29.0,sim,sim,não
2118,19,350,39603,55.0,sim,não,não
4826,36,512,25550,29.0,sim,não,sim
12931,47,485,19847,,não,não,sim
2620,59,370,26731,47.0,sim,não,sim
2397,40,563,12106,55.0,não,não,sim
10504,31,862,44619,34.0,não,não,sim
14402,36,357,19721,58.0,não,sim,sim
14275,26,563,33753,,sim,sim,sim
4901,23,482,12329,48.0,não,sim,não
4140,61,802,35236,9.0,sim,sim,não
9177,67,747,39804,23.0,sim,sim,sim
13371,66,658,48566,24.0,sim,não,sim
19576,27,845,41940,28.0,não,sim,sim
19209,32,375,1285,,sim,sim,sim
12118,35,628,44359,46.0,sim,sim,sim
16502,34,513,12406,24.0,sim,não,sim
15861,61,530,46417,30.0,sim,não,sim
12364,53,848,37848,34.0,sim,não,sim
11929,29,719,49894,27.0,não,não,sim
10320,26,352,17559,36.0,sim,sim,sim
11240,49,873,22027,58.0,sim,não,sim
1607,55,573,40494,10.0,sim,sim,não
6055,59,538,1623,52.0,sim,não,sim
3700,67,896,46525,,não,sim,sim
17682,28,590,22646,33.0,não,sim,sim
13673,32,647,31740,40.0,sim,não,sim
5239,62,425,41451,,não,não,sim
11368,20,634,1007,7.0,sim,sim,não
1132,29,835,14137,7.0,sim,não,sim
19197,27,432,23527,20.0,não,não,sim
12986,28,709,24861,13.0,sim,sim,sim
14412,55,570,30341,,sim,não,sim
12924,59,681,8010,42.0,sim,não,sim
4165,29,331,17367,56.0,não,sim,sim
4613,60,680,35702,57.0,sim,não,sim
10728,42,301,14707,,sim,sim,sim
13953,29,418,41971,27.0,sim,sim,sim
8567,22,468,18937,10.0,sim,sim,não
6539,18,758,45554,14.0,sim,sim,não
14442,49,665,33426,59.0,não,sim,sim
16822,34,610,9695,41.0,sim,sim,sim
6762,50,663,31054,36.0,sim,não,sim
19717,21,696,32036,17.0,sim,não,não
7757,32,685,3133,40.0,sim,sim,sim
3423,48,530,47242,20.0,sim,sim,não
12349,67,689,29160,48.0,não,sim,sim
2917,39,585,7054,,não,não,sim
11903,55,461,3905,42.0,não,não,sim
11627,38,359,15223,23.0,sim,sim,sim
16583,42,702,36250,24.0,sim,não,sim
11938,56,509,43895,27.0,sim,sim,sim
18195,20,655,18886,58.0,sim,não,não
4078,29,483,44621,8.0,não,sim,não
18217,63,486,9530,32.0,sim,não,sim
16936,19,345,1549,27.0,sim,sim,não
19643,24,386,32998,46.0,sim,não,não
12118,18,764,49073,36.0,não,sim,não
3742,47,811,25591,21.0,não,não,sim
2207,38,825,19366,15.0,não,não,sim
17928,58,691,19001,37.0,sim,sim,sim
11635,64,501,28559,43.0,não,não,sim
2621,34,571,24864,31.0,sim,não,sim
16475,25,470,41469,,sim,não,não
17220,69,762,1098,41.0,não,não,sim
12191,40,686,10763,,sim,sim,sim
13402,39,573,4500,15.0,sim,sim,sim
7413,27,405,7616,17.0,não,não,sim
11559,64,532,48439,41.0,sim,não,sim
1527,70,639,29098,50.0,não,sim,sim
19542,28,616,9007,51.0,não,sim,sim
2289,37,413,27031,54.0,não,sim,sim
1720,20,849,45367,43.0,não,não,sim
17219,67,576,1850,40.0,não,não,sim
6475,33,561,35712,37.0,sim,não,sim
17204,67,795,44205,38.0,não,não,sim
2023,49,550,30409,32.0,sim,sim,não
9145,55,456,47459,25.0,não,sim,sim
8273,34,477,48644,31.0,não,sim,sim
17860,61,457,41223,30.0,não,sim,sim
4956,41,687,18240,,não,não,sim
4138,50,677,25098,40.0,não,sim,sim
4661,37,671,37931,46.0,sim,não,sim
2309,46,493,19133,22.0,sim,não,não
3294,20,410,34521,58.0,sim,sim,não
2825,20,680,32810,,sim,sim,não
6005,54,840,26481,32.0,sim,sim,sim
11698,45,659,10119,54.0,sim,sim,sim
4141,62,703,18209,49.0,não,não,sim
11508,52,602,49151,8.0,não,não,sim
10392,25,300,5202,11.0,não,sim,não
9148,60,586,11356,33.0,não,sim,sim
7393,27,776,33378,29.0,não,não,sim
10446,26,627,14131,22.0,não,sim,sim
14119,30,894,10219,16.0,não,não,sim
5898,69,541,29010,60.0,não,sim,sim
15189,31,381,3293,,não,não,sim
17735,64,875,31595,43.0,não,sim,sim
3769,36,690,22969,42.0,não,sim,sim
10245,29,322,36725,40.0,não,não,sim
17590,65,319,5393,11.0,não,não,sim
3599,29,790,42919,,sim,não,sim
5242,60,864,31305,59.0,sim,não,sim
9280,66,600,34370,24.0,sim,não,sim
16541,53,765,16001,31.0,sim,sim,sim
8950,66,614,20748,60.0,sim,sim,sim
1692,63,777,15712,11.0,não,sim,não
3784,45,446,31372,19.0,sim,não,não
18204,43,846,11972,59.0,sim,sim,sim
3178,61,323,10882,39.0,não,sim,sim
14519,21,890,32726,44.0,sim,não,não
6399,48,451,20677,,não,não,sim
8463,67,356,953,36.0,não,sim,sim
1258,49,638,29742,44.0,sim,não,sim
4788,55,896,39002,33.0,não,sim,sim
12732,25,888,19734,11.0,sim,não,não
1955,33,666,15684,,não,sim,sim
2000,60,759,25668,40.0,sim,sim,sim
1711,58,347,35763,58.0,sim,não,não
6929,54,408,40473,40.0,sim,não,sim
18509,41,701,2857,14.0,não,sim,sim
7177,62,355,8610,46.0,não,não,sim
14464,23,639,40675,43.0,não,não,sim
5896,68,613,41870,28.0,não,sim,sim
12573,64,376,37889,33.0,não,não,sim
15262,64,334,42711,18.0,sim,sim,sim
15636,28,480,4298,,sim,não,sim
13613,44,820,45126,24.0,não,não,sim
17873,57,897,34924,53.0,sim,não,sim
4455,70,494,26468,56.0,não,não,sim
10837,26,559,24943,17.0,não,não,sim
18516,44,405,37805,11.0,sim,sim,sim
17015,58,779,35009,8.0,não,sim,sim
9884,53,815,33097,52.0,não,sim,sim
14866,53,770,25443,37.0,não,sim,sim
8268,30,698,10292,48.0,sim,sim,sim
16553,57,308,49321,36.0,não,não,sim
9479,21,728,9614,37.0,não,não,sim
6842,37,835,35103,17.0,não,não,sim
7109,18,522,11969,23.0,não,não,sim
1862,47,643,19948,21.0,não,não,sim
12128,60,412,16925,28.0,sim,sim,sim
10729,51,871,44985,22.0,não,não,sim
8337,39,394,7872,44.0,sim,sim,sim
8177,34,537,7721,12.0,não,não,sim
1213,41,796,16489,52.0,não,não,sim
6666,19,827,49305,13.0,não,sim,não
16327,56,494,21293,7.0,sim,não,sim
2317,40,475,37192,26.0,não,sim,não
14094,26,501,31370,45.0,não,não,sim
16246,33,689,45576,24.0,sim,não,sim
14888,33,334,2329,7.0,não,não,sim
1193,50,666,30493,,não,sim,não
9805,43,451,28115,20.0,sim,sim,sim
13739,60,748,1133,54.0,não,sim,sim
17147,44,813,6672,47.0,sim,não,sim
15043,66,351,24720,23.0,sim,sim,sim
16888,52,424,5818,,não,não,sim
6948,35,419,8831,22.0,sim,não,sim
4921,30,584,34477,21.0,sim,não,não
17381,50,894,29616,18.0,não,não,sim
9500,50,587,19520,6.0,não,não,sim
14823,18,852,27899,44.0,sim,não,não
14739,54,613,23748,46.0,sim,sim,sim
11804,31,720,8344,25.0,sim,sim,sim
15180,19,610,4344,55.0,sim,sim,não
17453,43,416,45379,55.0,não,não,sim
6477,48,820,31225,49.0,não,sim,sim
10524,37,369,3537,9.0,sim,não,sim
12892,27,851,42925,26.0,não,não,sim
13275,25,486,2386,48.0,não,sim,não
12562,19,669,49971,8.0,sim,sim,não
10314,28,833,24385,,sim,não,sim
7934,39,611,30747,23.0,não,sim,sim
9272,51,628,17736,,sim,sim,sim
9709,37,690,4076,8.0,não,sim,sim
18065,46,515,3646,48.0,sim,sim,sim
14030,22,686,44933,60.0,sim,não,não
1327,22,498,24456,28.0,não,não,não
17299,41,734,34404,,sim,não,sim
12406,20,671,1708,39.0,sim,não,não
17044,64,780,27218,17.0,sim,não,sim
13265,67,727,12121,8.0,sim,sim,sim
8475,35,411,31169,30.0,não,sim,sim
12041,41,791,17585,14.0,sim,não,sim
14421,64,306,13842,33.0,sim,sim,sim
13253,29,357,41651,20.0,sim,sim,sim
15180,41,678,7572,41.0,não,não,sim
15884,25,730,26458,32.0,não,sim,não
9793,44,663,11680,17.0,não,sim,sim
14205,65,354,9559,40.0,não,não,sim
7778,44,445,8672,43.0,sim,sim,sim
5598,18,484,1158,25.0,sim,não,não
5327,63,562,9541,54.0,não,sim,sim
15307,62,590,4004,55.0,não,não,sim
16207,39,323,23008,43.0,sim,sim,sim
6701,22,796,12100,11.0,não,sim,não
19704,29,875,4639,12.0,sim,sim,sim
8088,31,380,35850,54.0,sim,sim,sim
10049,23,424,6174,40.0,sim,sim,não
7617,50,327,9513,9.0,sim,não,sim
11083,58,302,33508,25.0,não,sim,sim
15809,59,482,3998,28.0,sim,não,sim
19603,68,483,21378,21.0,não,não,sim
6802,42,478,47893,50.0,não,sim,sim
13949,46,346,48622,12.0,sim,não,sim
8446,22,401,33581,8.0,sim,sim,não
5763,52,420,30985,,não,não,sim
5895,29,745,18664,53.0,não,sim,sim
13458,20,629,41134,,não,não,sim
5972,51,702,6148,59.0,não,não,sim
6370,28,865,45234,19.0,não,sim,sim
9818,67,452,11809,,sim,sim,sim
7278,34,876,1161,33.0,não,sim,sim
3312,67,798,15117,42.0,sim,sim,sim
3444,58,505,40896,,sim,sim,não
12040,69,439,1638,39.0,sim,não,sim
1658,24,553,21091,38.0,sim,não,não
3377,56,490,19858,59.0,sim,não,sim
2773,39,489,20562,53.0,não,sim,sim
5605,61,418,35984,57.0,sim,não,sim
18661,60,429,7051,39.0,sim,sim,sim
