Gênero,Ano,Duração,Diretor,Classificação,Idioma,Elenco,Restrição de Idade,Usuário Gosta
Terror,1962,69,Quentin Tarantino,5.1,Italiano,17,Livre,Sim
Fantasia,1967,120,Quentin Tarantino,6.6,Espanhol,13,14+,Sim
Ficção Científica,1965,71,Francis Ford Coppola,9.3,Alemão,19,14+,Sim
Animação,1941,84,Martin Scorsese,1.9,Italiano,10,18+,Não
Animação,1963,108,Stanley Kubrick,6.9,Japonês,4,Livre,Sim
Thriller,1973,79,Woody Allen,5.6,Francês,12,14+,Não
Ação,1996,162,Martin Scorsese,3.5,Russo,17,18+,Não
Thriller,2007,69,Orson Welles,1.7,Russo,2,10+,Sim
Thriller,1969,138,Steven Spielberg,6.7,Japonês,19,Livre,Sim
Documentário,2001,135,Quentin Tarantino,1.9,Italiano,1,14+,Sim
Thriller,1960,95,Orson Welles,5.8,Francês,3,12+,Não
Thriller,2012,116,Ridley Scott,3.3,Português,16,18+,Não
Fantasia,1947,125,Martin Scorsese,7.8,Russo,16,18+,Não
Ficção Científica,2001,71,Christopher Nolan,6.3,Inglês,9,14+,Sim
Drama,1997,153,Alfred Hitchcock,3.4,Russo,4,Livre,Sim
Fantasia,1941,174,Stanley Kubrick,2.3,Mandarim,20,16+,Não
Romance,1928,76,Alfred Hitchcock,3.0,Hindi,12,10+,Sim
Terror,1921,115,Stanley Kubrick,3.4,Russo,1,Livre,Sim
Terror,1936,139,Ridley Scott,4.8,Inglês,19,Livre,Sim
Romance,1929,122,Woody Allen,2.9,Inglês,18,16+,Não
Documentário,1977,110,Steven Spielberg,4.7,Espanhol,13,14+,Não
Ação,1983,127,Alfred Hitchcock,8.1,Japonês,12,12+,Não
Terror,2012,109,Orson Welles,6.1,Espanhol,17,18+,Não
Terror,1973,132,Francis Ford Coppola,3.9,Russo,7,Livre,Sim
Romance,1939,163,Alfred Hitchcock,5.9,Português,8,18+,Não
Ficção Científica,1990,96,Quentin Tarantino,2.2,Hindi,5,14+,Sim
Fantasia,1956,67,Orson Welles,4.6,Russo,20,Livre,Sim
Fantasia,2012,158,Christopher Nolan,4.4,Inglês,14,18+,Sim
Romance,1972,161,Steven Spielberg,9.2,Italiano,8,14+,Não
Thriller,1958,70,Martin Scorsese,2.4,Japonês,16,10+,Sim
Animação,1932,65,Alfred Hitchcock,2.3,Inglês,3,14+,Não
Thriller,1972,159,Christopher Nolan,3.0,Francês,15,16+,Sim
Romance,1938,146,Orson Welles,4.0,Mandarim,5,Livre,Sim
Documentário,1935,67,Woody Allen,2.5,Português,18,16+,Não
Romance,1927,70,Orson Welles,1.4,Inglês,18,10+,Sim
Terror,2001,95,Stanley Kubrick,4.1,Hindi,12,14+,Não
Ficção Científica,1926,115,Martin Scorsese,3.8,Japonês,12,Livre,Sim
Ficção Científica,2012,156,Steven Spielberg,9.1,Japonês,15,10+,Sim
Romance,2008,104,Orson Welles,3.0,Japonês,3,10+,Sim
