marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
hp,2012.0,4,5,4.0,não,0,3.0,540.0,FULLHD,TN,não,0.0,2000,,16374
huawei,2014.0,10,18,16.0,não,0,,517.0,4K,OLED,não,,250,premium,16205
,2015.0,10,11,8.0,não,0,2.0,329.0,FULLHD,IPS,sim,0.0,2000,,14016
positivo,2020.0,8,16,4.0,não,0,1.0,141.0,HD,TN,não,500.0,0,entrada,5111
positivo,2010.0,2,2,4.0,não,0,2.0,125.0,HD,TN,não,500.0,0,entrada,3709
xiaomi,2019.0,12,13,8.0,não,0,,429.0,QUADHD,AMOLED,não,0.0,250,premium,16387
hp,2016.0,8,8,16.0,não,0,,,FULLHD,VA,não,0.0,2000,ultraportatil,19365
apple,2011.0,8,10,8.0,não,0,,505.0,QUADHD,OLED,não,1000.0,250,premium,24710
dell,2021.0,12,17,16.0,sim,6,4.0,178.0,QUADHD,OLED,não,0.0,250,jogos_intermediarios,11780
acer,2015.0,8,9,8.0,não,0,3.0,576.0,QUADHD,AMOLED,não,0.0,500,premium,23694
razer,2010.0,8,10,8.0,não,0,2.0,457.0,FULLHD,AMOLED,não,0.0,2000,premium,18206
positivo,2013.0,6,9,8.0,não,0,1.0,279.0,HD,IPS,não,250.0,0,entrada,7525
lenovo,2022.0,10,14,16.0,sim,6,4.0,146.0,QUADHD,OLED,não,0.0,2000,jogos_premium,14271
razer,2018.0,8,11,16.0,sim,6,3.0,190.0,4K,AMOLED,não,0.0,2000,jogos_premium,14865
razer,2014.0,4,6,16.0,não,0,3.0,422.0,QUADHD,OLED,não,0.0,2000,premium,14782
asus,2014.0,8,8,4.0,não,0,,123.0,HD,IPS,não,0.0,250,intermediario,7035
razer,2023.0,6,6,16.0,não,0,3.0,491.0,QUADHD,AMOLED,não,0.0,250,,17974
apple,2014.0,8,13,16.0,não,0,3.0,500.0,4K,AMOLED,não,1000.0,250,premium,23243
dell,2012.0,10,12,12.0,sim,6,4.0,143.0,FULLHD,IPS,não,1000.0,250,,9990
asus,2012.0,4,6,12.0,não,0,,305.0,FULLHD,IPS,sim,0.0,250,2em1,13970
,2015.0,6,9,,não,0,3.0,501.0,HD,VA,não,250.0,0,intermediario,13158
dell,2023.0,4,6,32.0,não,0,2.0,544.0,FULLHD,OLED,não,0.0,250,ultraportatil,16248
xiaomi,2012.0,12,13,8.0,não,0,3.0,556.0,QUADHD,OLED,não,2000.0,250,premium,25259
xiaomi,2021.0,12,13,16.0,não,0,,517.0,QUADHD,OLED,não,0.0,2000,premium,17723
huawei,2015.0,10,14,8.0,não,0,3.0,559.0,FULLHD,OLED,não,0.0,1000,premium,23070
samsung,2016.0,6,8,8.0,sim,4,,,FULLHD,IPS,não,0.0,250,jogos_entrada,6614
dell,2017.0,10,18,16.0,não,0,,,FULLHD,IPS,não,0.0,1000,ultraportatil,21397
huawei,2013.0,6,6,16.0,não,0,,531.0,QUADHD,OLED,não,2000.0,250,premium,22176
positivo,2016.0,6,10,8.0,não,0,,,HD,IPS,não,250.0,0,entrada,6341
samsung,2023.0,4,4,12.0,sim,8,,52.0,4K,VA,não,0.0,500,jogos_intermediarios,10013
samsung,2020.0,12,15,12.0,sim,6,,121.0,QUADHD,OLED,não,,500,jogos_intermediarios,12532
razer,2019.0,10,17,8.0,não,0,3.0,590.0,4K,OLED,não,0.0,250,premium,22416
xiaomi,2019.0,10,19,8.0,não,0,,458.0,FULLHD,AMOLED,não,0.0,250,premium,22420
dell,2011.0,10,10,16.0,sim,4,,,QUADHD,TN,não,500.0,500,jogos_intermediarios,10302
,2022.0,8,12,12.0,não,0,,210.0,FULLHD,IPS,sim,0.0,2000,,10749
dell,2016.0,6,12,4.0,não,0,,,FULLHD,IPS,não,0.0,250,ultraportatil,19365
apple,2020.0,8,14,8.0,não,0,2.0,534.0,FULLHD,AMOLED,não,0.0,1000,premium,21419
xiaomi,2022.0,4,4,16.0,não,0,,483.0,FULLHD,AMOLED,não,0.0,1000,premium,17860
,2013.0,12,16,16.0,não,0,2.0,480.0,QUADHD,OLED,não,1000.0,250,premium,21596
xiaomi,2015.0,10,10,16.0,não,0,2.0,,4K,OLED,não,0.0,500,premium,18797
acer,2015.0,4,4,2.0,não,0,2.0,94.0,HD,TN,não,0.0,2000,entrada,4723
huawei,2017.0,6,9,8.0,não,0,,480.0,4K,AMOLED,não,0.0,500,premium,15171
dell,2017.0,6,7,16.0,sim,6,3.0,,4K,AMOLED,não,0.0,250,jogos_premium,17509
asus,2011.0,2,3,8.0,não,0,,,HD,IPS,não,1000.0,0,intermediario,7905
asus,2010.0,6,10,12.0,não,0,3.0,45.0,HD,OLED,não,0.0,500,intermediario,7445
apple,2010.0,12,13,8.0,não,0,,589.0,4K,AMOLED,não,250.0,250,premium,21530
,2023.0,4,5,16.0,não,0,2.0,600.0,FULLHD,OLED,não,0.0,500,ultraportatil,15618
samsung,2014.0,10,10,,não,0,1.0,402.0,HD,TN,não,2000.0,0,intermediario,10807
lenovo,2012.0,10,15,,não,0,,573.0,QUADHD,AMOLED,não,500.0,250,premium,20396
dell,2018.0,4,6,8.0,não,0,3.0,,HD,IPS,não,250.0,0,entrada,4369
positivo,2017.0,10,19,4.0,não,0,,252.0,HD,IPS,não,250.0,0,entrada,8015
,2013.0,4,6,8.0,não,0,,,FULLHD,OLED,não,1000.0,250,premium,24075
acer,2018.0,12,18,,sim,6,1.0,,FULLHD,AMOLED,não,0.0,2000,jogos_premium,23617
,2014.0,4,7,16.0,não,0,,401.0,QUADHD,AMOLED,não,500.0,250,premium,21077
huawei,2010.0,10,17,16.0,não,0,2.0,526.0,QUADHD,AMOLED,não,500.0,250,premium,16047
samsung,2021.0,4,7,16.0,sim,6,,,FULLHD,TN,não,0.0,250,jogos_intermediarios,9302
razer,2015.0,4,6,8.0,não,0,3.0,589.0,FULLHD,OLED,não,0.0,1000,premium,21091
,2010.0,8,12,16.0,sim,6,1.0,154.0,QUADHD,TN,não,500.0,500,jogos_intermediarios,11683
