marca,ano,quilometragem,combustivel,transmissao,tipo_carro,cor,valor
Audi,2000,113135,híbrido,manual,sedan,,32806
Chevrolet,2009,115088,híbrido,automático,pickup,,31438
Mercedes,2015,10794,gasolina,automático,hatchback,vermelho,216444
Mercedes,2005,13186,híbrido,automático,conversível,,200770
Hyundai,2017,18442,diesel,manual,sedan,vermelho,127091
Mercedes,2015,61776,diesel,automático,pickup,,222757
Audi,2022,21823,diesel,manual,pickup,,250724
Mercedes,2000,39596,gasolina,manual,pickup,vermelho,105283
Hyundai,2018,145354,híbrido,automático,hatchback,,73252
Ford,2018,70216,diesel,manual,SUV,,90849
Honda,2005,107887,híbrido,automático,pickup,,22479
Ford,2012,70250,híbrido,manual,hatchback,,34825
BMW,2017,134712,gasolina,automático,sedan,,150702
Nissan,2015,41289,híbrido,manual,conversível,,125098
BMW,2008,190656,gasolina,manual,sedan,,34541
Nissan,2007,88989,elétrico,manual,hatchback,verde,35708
Mercedes,2014,206745,gasolina,automático,pickup,,100278
Nissan,2010,143088,elétrico,manual,SUV,,53838
Nissan,2018,179427,elétrico,automático,SUV,verde,98401
Toyota,2020,92313,híbrido,automático,SUV,,138381
Audi,2019,3334,elétrico,automático,pickup,,298666
BMW,2017,211451,híbrido,automático,hatchback,,124984
Chevrolet,2005,93857,híbrido,automático,conversível,,11300
Audi,2003,36642,híbrido,manual,sedan,,107351
Nissan,2017,17111,gasolina,automático,pickup,,142022
Ford,2023,197925,gasolina,automático,sedan,azul,8452
Toyota,2014,206948,elétrico,automático,sedan,,9136
Honda,2010,38637,elétrico,manual,sedan,,91954
Mercedes,2006,194423,diesel,automático,sedan,branco,45904
Honda,2006,103481,híbrido,automático,SUV,,39563
Toyota,2014,142275,híbrido,automático,pickup,vermelho,54408
BMW,2007,185751,híbrido,manual,sedan,,65974
Hyundai,2011,136315,híbrido,automático,sedan,azul,37580
Nissan,2005,68628,diesel,automático,conversível,preto,28960
BMW,2023,15548,diesel,automático,hatchback,cinza,283116
BMW,2018,249976,híbrido,manual,pickup,,119017
Hyundai,2016,214720,híbrido,manual,SUV,preto,31696
Hyundai,2002,55277,híbrido,automático,SUV,,59306
