ano,cidade,esporte,disciplina,atleta,pais,genero,evento,medalha
1972,munique,aquatics,saltos ornamentais,"CAGNOTTO, Giorgio Franco",ITA,homens,10M Platform,bronze
1972,munique,,saltos ornamentais,"DIBIASI, Klaus",ITA,homens,10M Platform,ouro
1972,munique,aquatics,saltos ornamentais,"RYDZE, Richard Anthony",USA,homens,10M Platform,prateado
1972,munique,aquatics,saltos ornamentais,"JANICKE, Marina",GDR,mulheres,10M Platform,bronze
1972,munique,aquatics,saltos ornamentais,"KNAPE-LINDBERGH, Ulrika",SWE,mulheres,10M Platform,ouro
1972,munique,aquatics,saltos ornamentais,"DUCHKOVA, Milena",TCH,mulheres,10M Platform,prateado
1972,munique,,saltos ornamentais,"LINCOLN, Craig Howard",USA,homens,3M Springboard,bronze
1972,munique,aquatics,saltos ornamentais,"VASIN, Vladimir",URS,homens,3M Springboard,ouro
1972,munique,aquatics,saltos ornamentais,"CAGNOTTO, Giorgio Franco",ITA,homens,3M Springboard,prateado
1972,munique,aquatics,saltos ornamentais,"JANICKE, Marina",GDR,mulheres,3M Springboard,bronze
1972,munique,aquatics,saltos ornamentais,"KING, Maxine Joyce",USA,mulheres,3M Springboard,ouro
1972,munique,aquatics,saltos ornamentais,"KNAPE-LINDBERGH, Ulrika",SWE,mulheres,3M Springboard,prateado
1972,munique,aquatics,natação,"MURPHY, John Joseph",USA,homens,100M Backstroke,bronze
1972,munique,aquatics,natação,"MATTHES, Roland",GDR,homens,100M Backstroke,ouro
1972,munique,aquatics,natação,"STAMM, Michael Eugene",USA,homens,100M Backstroke,prateado
1972,munique,,natação,"ATWOOD, Susanne Jean",USA,mulheres,100M Backstroke,bronze
1972,munique,aquatics,natação,"BELOTE, Melissa Louise",USA,mulheres,100M Backstroke,ouro
1972,munique,aquatics,natação,"GYARMATI, Andrea",HUN,mulheres,100M Backstroke,prateado
1972,munique,aquatics,natação,"HENCKEN, John Frederick",USA,homens,100M Breaststroke,bronze
1972,munique,aquatics,natação,"TAGUCHI, Nobutaka",JPN,homens,100M Breaststroke,ouro
1972,munique,aquatics,natação,"BRUCE, Thomas Edwin",USA,homens,100M Breaststroke,prateado
1972,munique,aquatics,natação,"WHITFIELD, Beverley Joy",AUS,mulheres,100M Breaststroke,bronze
1972,munique,,natação,"CARR, Catherine L.",USA,mulheres,100M Breaststroke,ouro
1972,munique,aquatics,natação,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,mulheres,100M Breaststroke,prateado
1972,munique,aquatics,natação,"HEIDENREICH, Jerry Alan",USA,homens,100M Butterfly,bronze
,munique,aquatics,natação,"SPITZ, Mark",USA,homens,100M Butterfly,ouro
1972,munique,aquatics,natação,"ROBERTSON, Bruce Richard",CAN,homens,100M Butterfly,prateado
1972,munique,aquatics,natação,"GYARMATI, Andrea",HUN,mulheres,100M Butterfly,bronze
1972,munique,aquatics,natação,"AOKI, Mayumi",JPN,mulheres,100M Butterfly,ouro
1972,munique,aquatics,natação,"BEIER, Roswitha",GDR,mulheres,100M Butterfly,prateado
1972,munique,aquatics,natação,"BURE, Vladimir",URS,homens,100M Freestyle,bronze
,munique,aquatics,natação,"SPITZ, Mark",USA,homens,100M Freestyle,ouro
1972,munique,aquatics,natação,"HEIDENREICH, Jerry Alan",USA,homens,100M Freestyle,prateado
1972,munique,aquatics,natação,"GOULD, Shane",AUS,mulheres,100M Freestyle,bronze
1972,munique,,natação,"NEILSON, Alexandra Lynn",USA,mulheres,100M Freestyle,ouro
1972,munique,aquatics,natação,"BABASHOFF, Shirley Farber",USA,mulheres,100M Freestyle,prateado
1972,munique,aquatics,natação,"NORTHWAY, Douglas Dale",USA,homens,1500M Freestyle,bronze
1972,munique,aquatics,natação,"BURTON, Michael Jay",USA,homens,1500M Freestyle,ouro
1972,munique,aquatics,natação,"WINDEATT, Graham Claud",AUS,homens,1500M Freestyle,prateado
1972,munique,aquatics,natação,"IVEY, Mitchell",USA,homens,200M Backstroke,bronze
1972,munique,aquatics,natação,"MATTHES, Roland",GDR,homens,200M Backstroke,ouro
1972,munique,aquatics,natação,"STAMM, Michael Eugene",USA,homens,200M Backstroke,prateado
1972,munique,aquatics,natação,"GURR, Donna Marie",CAN,mulheres,200M Backstroke,bronze
1972,munique,aquatics,natação,"BELOTE, Melissa Louise",USA,mulheres,200M Backstroke,ouro
1972,munique,aquatics,natação,"ATWOOD, Susanne Jean",USA,mulheres,200M Backstroke,prateado
