,ID_Estoque,Quantidade_Disponível,Local_Estoque,Nivel_Maximo,Data_Atualizacao
0,3875444495734620277,281,Atacado,35000000,2022-05-05
1,6127956004674753947,219,Varejo,45000000,2021-06-10
2,7282248944667776459,412,Varejo,9000,2023-08-01
3,4970625232127991286,386,Atacado,95000000,2024-05-24
4,7852505709652820024,103,Fábrica,15000000,2023-09-07
5,6611207177586799281,145,Atacado,40000000,2024-01-19
6,9016047604393441611,361,Fábrica,8500,2024-07-19
7,4037032005684137786,24,Fábrica,30000000,2021-11-01
8,4090818691411376991,231,Depósito Regional,5000,2023-03-18
9,5077156424220522271,80,Atacado,550000,2025-03-06
10,4978370888344554786,282,Atacado,20000000,2024-10-29
11,5686528682834453387,259,Loja Física,900000,2022-11-28
12,2964535155827060125,481,Depósito Regional,65000000,2021-04-18
13,3883615401902799849,165,Loja Física,45000000,2021-05-28
14,4932046181737286481,462,Fábrica,100000,2025-03-14
15,8141410805437967390,489,Atacado,4500,2021-08-01
16,3866235927396762517,257,Fábrica,9500,2020-05-23
17,2559534698842432154,452,Centro de Distribuição,30000000,2021-01-24
18,3636726594679618470,385,Fábrica,200000,2021-09-17
19,9732864749592806078,166,Fábrica,65000000,2024-11-17
20,3592061287869182799,468,Atacado,300000,2024-02-17
21,5524930285642031462,105,Varejo,800000,2025-02-12
22,6970852983063453612,181,Depósito Regional,150000,2021-08-27
23,7206768768409817466,429,Atacado,80000000,2025-03-21
24,8227893967000878137,189,Atacado,200000,2024-03-01
25,3937338829506859940,53,Loja Física,900000,2023-11-22
26,2546315573253195855,257,Atacado,600000,2020-11-28
27,7514229180283033479,372,Loja Física,20000000,2021-07-19
28,2922448251038487706,367,Loja Física,550000,2025-09-23
29,4077932369477689786,346,Loja Física,75000000,2021-11-09
30,1108841030780967594,165,Fábrica,1500,2023-09-24
31,7562382197039112713,354,Centro de Distribuição,800000,2020-03-22
32,2632918701054346849,312,Centro de Distribuição,8500,2023-05-19
33,8138633274831878951,371,Atacado,1000,2022-10-27
34,9589624404268456878,420,Depósito Regional,2000,2020-07-09
35,6573771738149101784,48,Varejo,55000000,2022-11-23
36,9597964035665294038,174,Atacado,1500,2024-04-09
37,7557730770679305608,175,Loja Física,65000000,2022-01-22
38,8954969926955237595,197,Centro de Distribuição,550000,2024-02-05
39,9925560918183756056,78,Depósito Regional,950000,2025-01-01
40,2171522832917186626,55,Loja Física,7500,2021-02-26
41,7515736968985681479,230,Fábrica,3000,2024-12-11
42,7636618178596057027,379,Fábrica,350000,2021-08-15
43,5637229827072146585,447,Depósito Regional,4500,2024-07-27
44,1795127904024446696,234,Atacado,60000000,2024-07-03
45,6201115460462607777,461,Depósito Regional,850000,2025-08-14
46,4216810866536606869,258,Loja Física,5000,2020-11-14
47,4152475489554258535,454,Centro de Distribuição,1000,2022-03-30
48,9685441621571458419,162,Fábrica,65000000,2021-04-15
49,6515285232203518044,381,Varejo,700000,2025-04-28
50,5165342579367941134,96,Fábrica,75000000,2023-09-06
51,9483357368431538369,281,Fábrica,50000,2024-06-30
52,8595131936391168717,318,Fábrica,8500,2020-10-31
53,3094212079563460439,421,Depósito Regional,450000,2021-01-29
54,9766857927169893440,18,Fábrica,3500,2021-10-31
55,2625378233153736868,490,Loja Física,50000000,2022-09-15
56,6612155756614319207,498,Loja Física,450000,2025-04-29
57,3175492259880731104,289,Varejo,4500,2021-10-16
58,1844626453362350265,278,Loja Física,800000,2020-08-06
59,2962922275498535235,325,Fábrica,5000000,2025-01-28
60,4496930573227730781,384,Fábrica,40000000,2021-07-17
61,4025048518083816414,440,Varejo,100000,2023-08-09
62,4753257683851201564,375,Fábrica,700000,2020-01-25
63,5574482531641544231,364,Atacado,3000,2024-04-07
64,7492439421417531104,492,Loja Física,5500,2025-05-15
65,9669992784249877005,303,Atacado,700000,2022-08-08
66,5197262028039983711,341,Depósito Regional,45000000,2022-10-01
67,4787999445460318348,127,Centro de Distribuição,90000000,2023-05-16
68,1898923682624183943,301,Fábrica,5000000,2024-10-23
69,6869636221181897507,191,Centro de Distribuição,1500,2022-02-08
70,6278243089856613733,419,Varejo,500,2025-06-20
71,8411512805540222258,429,Atacado,1000,2025-06-29
72,7031036979476179324,427,Loja Física,65000000,2022-11-01
73,2651849231712402852,190,Fábrica,200000,2023-10-06
74,5652722353594003451,73,Loja Física,450000,2025-05-24
75,6430868863546449608,465,Depósito Regional,95000000,2023-02-11
76,2186612950899079783,469,Centro de Distribuição,500000,2021-02-27
77,1404473857319733179,189,Loja Física,700000,2021-08-30
78,7694083107486713265,187,Depósito Regional,80000000,2025-12-24
79,2949610525361291691,104,Varejo,90000000,2021-11-23
80,3358642887358982937,167,Centro de Distribuição,5000,2021-10-07
81,2146888270347786931,53,Atacado,9500,2021-05-15
82,2498876904734123946,369,Atacado,350000,2024-04-24
83,5378191930991737620,343,Centro de Distribuição,50000000,2021-03-23
84,8837323227363524818,65,Fábrica,60000000,2025-08-27
85,9704089989677200575,140,Centro de Distribuição,35000000,2022-07-15
86,6669121539954801884,136,Fábrica,100000,2021-08-30
87,7882997885212269886,437,Varejo,100000,2021-04-04
88,6197812050510065482,446,Loja Física,4500,2020-12-27
89,4213810093850898235,37,Varejo,85000000,2022-11-26
90,4339580196884374627,415,Centro de Distribuição,55000000,2022-02-24
91,4326491130922673236,255,Loja Física,5000,2023-08-30
92,6598940999079578192,36,Centro de Distribuição,8000,2021-03-26
93,5958523300522463678,110,Depósito Regional,400000,2021-02-28
94,5282477286770372278,9,Varejo,20000000,2023-04-08
95,3091732247318353355,166,Varejo,4500,2021-08-21
96,4663389849397318588,42,Centro de Distribuição,300000,2020-03-13
97,9502886275931367123,82,Fábrica,800000,2024-06-30
98,4350991423756675957,209,Loja Física,950000,2024-01-13
99,3116927556761022173,121,Varejo,5000,2020-07-06
100,3570267196225910020,152,Fábrica,4000,2021-08-30
101,1612216756490710556,287,Fábrica,7500,2023-03-09
102,2212403632217389062,214,Loja Física,55000000,2022-10-22
103,2789895564820237095,89,Depósito Regional,9500,2022-01-14
104,5070572548245193341,74,Varejo,35000000,2025-10-14
105,3425230521256691876,410,Fábrica,950000,2024-04-11
106,4734794775253709622,272,Fábrica,90000000,2021-08-10
107,9758750161963107992,38,Loja Física,55000000,2025-02-04
