,ID_Fabricante,CNPJ,Contato,CEP
0,6208163874692530209,49.210.331/0001-08,92916019285,01471-372
1,3593569528444391687,56.742.069/0001-28,81965725981,15663-728
2,8523694582568891936,14.837.926/0001-07,97956633170,05300-030
3,4385505247431354635,28.811.472/0001-51,87910374799,13922-889
4,2850917261273847372,76.788.197/0001-97,97962877410,93144-896
5,7889491915572714710,48.383.523/0001-78,37963316904,35367-937
6,4903491520788457486,42.360.217/0001-14,24913194858,05992-013
7,1369883032070455355,12.144.698/0001-06,19939892623,01314-126
8,7870213195792646899,21.149.581/0001-51,45944336869,36409-820
9,6567874772442231132,64.030.730/0001-99,46907859787,73869-255
10,7783487731458562811,61.760.232/0001-97,89989373533,37562-169
11,6172920260436602878,52.267.911/0001-56,74923807455,23284-426
12,5541786318043182508,69.724.603/0001-00,55994216620,70247-076
13,9048076639468933168,38.989.508/0001-04,69956345809,92422-462
14,1723338473248644390,63.425.558/0001-02,24911860612,65124-837
15,7336360862036464374,32.156.924/0001-45,13904912067,07555-297
16,8513234405451489326,99.243.202/0001-02,42957509976,84491-141
17,2820234905012652820,90.934.822/0001-75,92939181740,28041-349
18,4639998744664650782,00.649.978/0001-54,97950752454,23972-562
19,8098751420139317496,62.526.121/0001-95,68906560441,47795-381
20,6799587108184883216,99.642.111/0001-90,96936257646,05284-505
21,3188898428245077925,49.404.910/0001-92,87948515651,29820-472
22,1098574153590970892,61.709.584/0001-24,33976377135,50175-202
23,8028072934081961054,27.479.178/0001-74,67901352528,61890-813
24,5196627455646080501,57.663.164/0001-88,34998552273,51577-326
25,4226524985572163937,81.450.487/0001-91,66995787396,62020-045
26,8402290169738877539,99.452.763/0001-10,21926724509,85568-041
27,9241474038019974929,29.176.725/0001-06,79960301018,97672-019
28,9538207648792887295,98.284.419/0001-40,87939090994,66092-531
29,6562255943156145348,67.906.252/0001-42,85915729534,57900-486
30,4974138056361750260,09.625.914/0001-12,31934384472,53776-708
31,3593483338670493659,65.561.888/0001-75,43961597495,28364-224
32,7211610606166096555,91.557.044/0001-48,47967497896,48248-012
33,9929567350884847229,29.941.370/0001-87,37956590147,99835-999
34,6229784257864670842,03.449.421/0001-70,22912882917,14974-154
35,6173888261066513900,18.126.158/0001-26,66992847465,44541-808
36,2345152543334646199,35.929.722/0001-58,53999387440,42236-109
37,4363313170794901730,60.356.102/0001-42,16997470967,22503-375
38,8062403387675366811,14.996.607/0001-98,87959975136,90885-491
39,8132102016705746977,78.205.411/0001-20,32941559163,17150-823
40,4965911067701276421,85.697.670/0001-55,41908598972,04714-268
41,9267200653907683965,11.752.954/0001-88,62924165894,46030-282
42,8384295337145492184,16.912.744/0001-92,82916635051,56011-007
43,1952294543401240125,19.264.000/0001-66,86917552503,87326-652
