,ID_Estoque,CEP
0,3.87544449573462e+18,95846-742
1,6.127956004674754e+18,15471-932
2,7.282248944667776e+18,65055-746
3,4.970625232127991e+18,99026-444
4,7.85250570965282e+18,21063-551
5,6.6112071775868e+18,80989-175
6,9.016047604393441e+18,98743-454
7,4.037032005684138e+18,93422-719
8,4.090818691411377e+18,70589-619
9,5.077156424220522e+18,93187-247
10,4.978370888344554e+18,49613-714
11,5.686528682834454e+18,52864-277
12,2.96453515582706e+18,06204-311
13,3.8836154019028e+18,46702-974
14,4.932046181737287e+18,52861-612
15,8.141410805437967e+18,85793-522
16,3.8662359273967626e+18,83082-676
17,2.559534698842432e+18,22916-219
18,3.6367265946796186e+18,86600-150
19,9.732864749592805e+18,09810-112
20,3.592061287869183e+18,28794-136
21,5.524930285642031e+18,34490-690
22,6.970852983063454e+18,69681-369
23,7.206768768409817e+18,23252-902
24,8.227893967000878e+18,33415-260
25,3.93733882950686e+18,45547-838
26,2.546315573253196e+18,28580-250
27,7.514229180283034e+18,75644-196
28,2.9224482510384876e+18,08281-594
29,4.07793236947769e+18,70385-743
30,1.1088410307809676e+18,21549-601
31,7.562382197039113e+18,14521-298
32,2.632918701054347e+18,91181-919
33,8.138633274831879e+18,33227-071
34,9.589624404268456e+18,35621-993
35,6.573771738149102e+18,11460-737
36,9.597964035665293e+18,89142-213
37,7.557730770679305e+18,48549-444
38,8.954969926955237e+18,79925-823
39,9.925560918183756e+18,81232-201
40,2.1715228329171866e+18,04124-381
41,7.515736968985682e+18,38307-129
42,7.636618178596057e+18,24648-622
43,5.637229827072146e+18,53469-842
44,1.7951279040244467e+18,20908-539
45,6.201115460462607e+18,80471-582
46,4.2168108665366067e+18,50185-480
47,4.1524754895542584e+18,96110-471
48,9.68544162157146e+18,29212-764
49,6.515285232203518e+18,61985-661
50,5.165342579367941e+18,94787-028
51,9.483357368431538e+18,00010-928
52,8.595131936391169e+18,40198-639
53,3.0942120795634606e+18,52788-780
54,9.766857927169894e+18,82855-014
55,2.6253782331537367e+18,25779-213
56,6.612155756614319e+18,27252-533
57,3.175492259880731e+18,34897-716
58,1.8446264533623503e+18,67229-215
59,2.9629222754985354e+18,03201-428
60,4.496930573227731e+18,81658-502
61,4.0250485180838164e+18,56401-327
62,4.753257683851202e+18,70581-898
63,5.574482531641545e+18,65643-177
64,7.492439421417531e+18,77579-264
65,9.669992784249876e+18,44746-740
66,5.197262028039984e+18,18718-507
67,4.787999445460318e+18,30401-916
68,1.898923682624184e+18,42909-275
69,6.869636221181898e+18,60055-297
70,6.278243089856613e+18,17254-262
71,8.411512805540222e+18,55137-251
72,7.031036979476179e+18,69733-534
73,2.651849231712403e+18,89892-778
74,5.652722353594003e+18,10272-244
75,6.43086886354645e+18,53331-713
76,2.1866129508990797e+18,06966-353
77,1.4044738573197332e+18,69301-367
78,7.694083107486713e+18,97662-891
79,2.949610525361292e+18,77142-624
80,3.358642887358983e+18,37913-677
81,2.146888270347787e+18,51063-014
82,2.498876904734124e+18,05772-920
83,5.378191930991738e+18,49538-652
84,8.837323227363525e+18,30229-604
85,9.704089989677201e+18,92925-375
86,6.669121539954802e+18,30020-041
87,7.88299788521227e+18,86119-292
